Address,Unit Number,Price,Status,Description,Bathroom Count,Bedroom Count,Property Type,Square Feet,Total Rooms,Listing Agent 1,Listing Agent 2
1 1ST PL,7,385000,Sold,"Great value! Lovely 1 bedroom coop located on the third floor of a turn of the century brownstone on 1st Place, Carroll Gardens. This corner unit has South and West exposures and oversized windows offering tree top views and great light. The kitchen is renovated with granite countertops and new appliances. The bathroom, also renovated has a soaking tub. The apartment has hardwood floors throughout and offers custom shelving and a washer/dryer. This boutique coop offers roof access with beautiful views. Pet friendly and sublet allowed.  In prime Carroll Gardens, this apartment is on one Brooklyns prettiest streets and is close to transportation and shopping and restaurants on Court Street.",1,1,Co-op,,3,megan.ong@corciman.com,stefaniel.stephen@corciman.com
1 Central Park South,1603,10000000,Sold,"PRISTINE AT THE PLAZA. Enjoy  spectacular Central Park views from every room of this impeccable split 2 bedroom, 2.5 bath apartment.  The gracious foyer has magnificent walls of custom woodwork with antiqued mirrored panels which parallel the history of this iconic building. The beautiful living/dining room is generous in proportions with the chefs kitchen adjacent. The spacious and elegant Master Suite is in a wing unto itself and totally private. The secondary bedroom is also a suite and there is separate powder room for ones guests.  There are beautiful hardwood floors throughout and many custom details which personalize this residence. This is truly a great home for the discriminating buyer.  The Plaza offers a lifestyle, wonderful amenities and a location that is unsurpassed in NYC.  NOTE:  Buyer pays (1) Right of First Refusal Waiver Fee - 0.75% of gross sales price; (2) Working Capital Contribution of 2 months Common Charges. Potential to combine with apartments 1601 and 1602 which are currently on the market.",2.5,2,Condo,1985,5,susannev.tamura@corciman.com,edith.flatow@corciman.com
1 Central Park West,42B,17250,Rented,"Living Large - From the moment you enter this stunning, large, xxx mint, elegantly furnished, 2 bedroom, 2.5 bath apartment you are met with a feeling of spaciousness, light, and glorious sweeping Central Park views from every window! Every room is oversized, including the elegant foyer; the gracious floorplan, with approximately 1,945 square feet, allows you be met with forever Park views as soon as you enter the separate foyer with powder room and two closets, to the oversized living room and dining room, beautifully furnished in neutral tones.  Enjoy Central Park views while dining in the large dining room furnished with an elegant glass table with eight chairs.  The eat-in kitchen with abundant counter space and high gloss cabinets has been beautifully renovated with GE appliances.  The spacious master bedroom is beautifully appointed with a king sized bed, dressing table, two huge walk-in closets and a third linen closet, a lovely seating area overlooking Central Park, and en-suite 5 fixture stunning, large marble bathroom with two sinks, shower and tub. The second bedroom is also large and has a king-sized bed, separate seating area also facing the park, a large closet and en-suite bathroom. There is a washer/dryer. This ultra luxurious condominium with hotel services, has a stunning lobby, full time doorman, concierge, valet, fitness center, swimming pool, spa, maid service, business center, bicycle room, and garage. Enjoy fine dining at Jean Georges Restaurant, as well as 24 hour room service.",2.5,2,Condo,1945,5,dana.dawson@corciman.com,jackie.hochhauser@corciman.com
1 EAST END AVE,6A,3300000,Sold,"Breathtaking East River views from almost every room of this impeccably-maintained classic eight into seven in one of New Yorks finest pre-war co-ops.  A private elevator landing opens into a large entrance hall with an over-sized bay window overlooking the River.  The grandly proportioned Living Room has a wood-burning fireplace and East, South and West exposures.  The room is flooded with light during the day and offers dazzling River and City views at night.  A cozy wood-paneled library/bedroom leads off the entrance hall.  The bright master and second bedrooms both have en-suite windowed baths and River views.  The well-appointed eat-in kitchen with butlers pantry has an adjacent staff room/home office/fourth bedroom with en-suite bath. Built in 1929, this 14-story brick and limestone apartment building was designed by Pleasants Pennington and Albert W. Lewis.  One East End Avenue is an intimate, white-glove building located on 79th Street and East End Avenue. There is a 3% flip tax payable by purchaser. Pets welcome.",3,4,Co-op,2450,7,timp.wexler@corciman.com,frank.gavriani@corciman.com
1 GRAND ARMY PLZ,2D,1600000,Sold,"Combining an unbeatable location with direct Prospect Park views, this 1526sqft two-bedroom, two bathroom (plus-home-office) 24-hour doorman condominium is situated in Brooklyns most desirable building by Pritzker Prize Winning-architect, Richard Meier. This luxuriously modern home offers white oak floors and floor-to-ceiling windows with Western sunlight. Amenities include an open kitchen with top-of-the-line Gaggenau appliances, Miele dishwasher, Sub-Zero, Corian countertops and wine cooler. Spa-like Master Bathroom with Zuma Air Jet Soaking tub, stall shower, Dornbracht faucets and white Thassos marble radiant floors and washer-dryer. Private 5' x 6.5' Storage space included, plus bike storage. On-site parking. Tax abatement ends in 2035. The home is situated in close proximity to Prospect Park, the Brooklyn Museum, Brooklyn Botanic Gardens and Brooklyn Library.  Spectacular common roof terrace with 360-views, BBQ grill and dining area. Building amenities include equipped children's play area, billiard room, lounge, 30,000sqft health club with indoor pool.  Steps from the 2/3 subway lines.",2,2,Condo,1526,6,frank.gavriani@corciman.com,katem.kory@corciman.com
1 MONTGOMERY PL,2,2600000,Sold,"Located on one of Park Slope's most beloved blocks, this former mansion was converted to five beautiful condominiums in 2006. This stunning duplex apartment spans over 2600 square feet and evokes a feeling of gracious grandeur.Upon entering the foyer one is welcomed by soaring ceilings, ornate woodwork, dental crown molding, original parquet floors and wonderful light emanating from the many enormous windows.The dramatic focal point of this enchanting home is the living room, complete with coffered ceilings, Ionic columns with chandelier sconces, and immense windows, balanced by an impressive mahogany and marble gas fireplace.The spacious kitchen and dining area overlooks the private landscaped garden below. The kitchen features cherry wood cabinets, granite countertops, stainless steel appliances including a Sub-Zero refrigerator, and wonderful counter and storage space.  The master suite's grand proportions are delightful with three oversized windows, three large closets and a luxurious marble bath with an oversized shower and a separate a soaking tub.The lower level offers two large and inviting bedrooms, both with an abundance of closet space, a home office, a full bath, a laundry room, and two additional walk-in closets/storage areas.This unique gem is located in the heart of Park Slope--less than a block from Prospect Park and one block from the amenities of 7th Avenue.",2.5,3,Condo,2624,6,kristina.levitan@corciman.com,
1 PLAZA ST,11A,950000,Sold,"GREAT SPACE AT A GREAT PRICE!! Space, sun, and spectacular views are the hallmark of this apartment at centrally-located 1 Plaza Street West, a landmark gem of Park Slope. Owned by the same family for over twenty-five years, this corner unit offers expansive views of iconic Grand Army Plaza and downtown Brooklyn and Manhattan. Adjacent to the entry foyer, the windowed eat-in kitchen offers an abundance of cabinet storage and work space.  The well-appointed living room is large enough for both a living area and a formal dining space. Beamed ceilings and parquet floors carry throughout the sunny space into the smaller of the two bedrooms, which easily fits a queen-sized bed and features two walls of windows with northern and eastern exposures. Views of Prospect Park and plenty of closet space make the king-sized master bedroom the perfect oasis. Outside the bedrooms, find an additional floor-to-ceiling hallway closet and access to an enormous full bathroom, complete with a large soaking tub. Just a few stops from Manhattan on the nearby 2, 3, B or Q trains, this location is unparalleled--moments from Prospect Park and Saturday Farmers Market, the Brooklyn Museum and Botanic Gardens, and the Brooklyn Library, and surrounded by great shopping and dining.  1 Plaza Street West is an Art Deco elevator building with a full-time doorman, live-in super, and common laundry. Pets are allowed with board approval. (PLEASE NOTE, PHOTOS DISPLAYED ARE OF THE APARTMENT ""AS IS"" and VIRTUALLY STAGED)",1,2,Co-op,,4,mariadefatima.morisawa@corciman.com,
1 West 67th St,PH905,15000000,Temp Off Mkt,"The crowning jewel of the illustrious Hotel des Artistes is an 5,377 square foot penthouse which is one of the most impressive spaces in New York.  This extraordinary residence represents a unique marriage of two exceptional 20th century architectural styles. Designed by late legendary architectural icon Ettore Sottsass, the apartment was last available 30 years ago.The first floor of the Penthouse boasts an extraordinary double-height Great Room (55 x 216) with soaring 189 ceilings, Central Park views and open northern exposures from a wall of 15 high windows. The Great Room adjoins a Dining Room with 179 ceilings. A Guest Bedroom Suite, a windowed Chefs Kitchen, a Powder Room and Staff Bath complete this floor. On the Mezzanine level, a Bedroom with 2 Baths and Dressing Room lead to a balcony overlooking the Great Room. Upstairs, the Penthouse includes a Master Bedroom Suite with 2 Dressing Rooms, a Media Room, a Kitchenette and two Baths. The spectacular Study, with three exposures, overlooks an 827 square foot private terrace with beautiful open views.The Hotel des Artistes was developed by Walter Russell, a self-taught painter, sculptor, musician and educator, as an artist's cooperative apartment in 1917; the 18-story (9 floors with 9 mezzanine levels) prewar residential coop was designed by George M. Pollard. Only hotels were permitted to be built to this height, so hotel amenities were provided. The building never functioned as a hotel although its amenities were and still are very impressive. They include a swimming pool, two workout rooms, and squash court as well as a roof garden. The highly-regarded Leopard at Des Artistes restaurant is located on the first floor. The neo-Gothic-style building, which has a canopied entrance and large lobby, has a both a concierge and attended elevator. The building is individually landmarked and falls within the boundaries of the Upper West Side Historic District, as designated by the New York City Landmarks Preservation Commission. There is a 3% flip tax payable by purchaser. Co-Exclusive",5.5,3,Co-op,,9,shinichi.square@corciman.com,debbie.dugan@corciman.com
,,,,,,,,,,,
1 West 67th St,901,4500000,Temp Off Mkt,"Bring your architect to transform this unique and glamorous space into one of the most dramatic duplexes at the legendary Hotel des Artistes. Once home to Rudolph Valentino, this extraordinary apartment enjoys spectacular views of Central Park from the building's highest floor double-height studio. The corner Living Room/Studio boasts 18' 9"" high ceilings, 15 high windows, a wood-burning fireplace and the original stairway and architectural millwork, all beautifully restored. High atop the finest cooperative apartment building on Artists' Row, listed as the West 67th Street Artists' Colony Historic District and included in the National Register of Historic Places. This splendid duplex is easily convertible to a truly inspiring 2 to 3 bedroom home.The Hotel des Artistes was developed by Walter Russell, a self-taught painter, sculptor, musician and educator, as an artist's cooperative apartment in 1917; the 18-story (9 floors with 9 mezzanine levels) prewar residential coop was designed by George M. Pollard. Only hotels were permitted to be built to this height, so hotel amenities were provided. The building never functioned as a hotel although its amenities were and still are very impressive. They include a swimming pool, two workout rooms, and squash court as well as a roof garden. The highly-regarded Leopard at Des Artistes restaurant is located on the first floor. The neo-Gothic-style building, which has a canopied entrance and large lobby, has a both a concierge and attended elevator. The building is individually landmarked and falls within the boundaries of the Upper West Side Historic District, as designated by the New York City Landmarks Preservation Commission. There is a 3% flip tax payable by purchaser.  Co-Exclusive.",2,3,Co-op,2275,5,stevenb.swezey@corciman.com,derek.fifth@corciman.com
10 GRACIE SQ,PHS,18900000,Perm Off Mkt,"Perched atop one of Manhattan's most desirable addresses, this magnificent 12-room terraced prewar penthouse offers stunning views overlooking the East River. Grandeur of scale, extraordinary room proportions and the finest finishes characterize this brilliantly designed architectural masterpiece. The apartment features 5 bedrooms plus a library, a wrap-around terrace, 2 balconies and four wood-burning fireplaces. Soaring ceilings, walls of windows, skylights, classic moldings, crafted millwork and pristine hardwood flooring may be found throughout the home. One enters the apartment from a private elevator landing which leads to a 29-foot windowed gallery. The gracious public rooms include a living room, dining room and library; encompassing a 66-foot expanse overlooking the River. The ceiling height is 12-feet and there are oversized windows, two wood-burning fireplaces and two balconies. The library opens onto an enchanting landscaped 73-foot South terrace. The corner master suite overlooks the South terrace, has a vast walk-in-closet, a wood-burning fireplace, and oversized marble bath with a window. There are two additional bedrooms, each with terrace overlooks and windowed baths. The windowed eat-in-kitchen with skylights is outfitted with custom cabinetry and top-of-the line appliances, ample room for dining and access to the West terrace. The upper level has two sunny bedrooms; one has a triple exposure; and a renovated windowed full bath.",5,5,Co-op,5000,12,adam.balan@corciman.com,dennis.feldman@corciman.com
10 Park Avenue,10A,751750,Active,"Amazingly bright and sunny corner one bedroom home with open south and west exposures. Beautiful view of the Empire State Building. This home has lovely Pre-war details throughout including a sunken living room, hardwood floors, beamed ceilings and the most charming casement windows. This home is located at 10 Park Avenue, a full service coop with a doorman/concierge, laundry room, bike storage and magnificent roof terrace. You are next to all major transportation and have easy access to restaurants, shopping and more. Pets are allowed. Pied a terre friendly.",1,1,Co-op,0,3.5,meghankelly.pashby@corciman.com,
10 West 15th St,615,675000,Sold,"Priced to Sell One Bedroom apartment in full-service Union Square Coop.
This sun filled one bedroom has it all. A nice foyer, great closet space, a large kitchen, and spacious living room and bedroom await... all in a wonderfully-run Full Service Building with low maintenance.
Both the kitchen and bath are fully renovated. The kitchen includes Caesarstone countertops, basalt tile floors, Viking designer series range, Miele dishwasher, Miele hood, and Liebherr refrigerator. The bathroom features Basalt Tile Floors, a Duravit Vanity, Robern Medicine Cabinet and a dual-flush Caroma toilet and a walk-in shower.
Parker Gramercy is centrally located off Fifth Avenue at the crossroads of Chelsea, Greenwich Village, and Union Square. Known for its fantastic staff, impeccable financials, and excellent management, 10 W 15 St is a pet-friendly 24-Hour Doorman coop with a Live-In Super, Laundry and Package Room. 
Please call or e-mail us for a private showing.",1,1,Co-op,650,3,ingrid.grubman@corciman.com,beth.booth@corciman.com
10 West 15th St,615,,Sold,"Priced to Sell One Bedroom apartment in full-service Union Square Coop.
This sun filled one bedroom has it all. A nice foyer, great closet space, a large kitchen, and spacious living room and bedroom await... all in a wonderfully-run Full Service Building with low maintenance.
Both the kitchen and bath are fully renovated. The kitchen includes Caesarstone countertops, basalt tile floors, Viking designer series range, Miele dishwasher, Miele hood, and Liebherr refrigerator. The bathroom features Basalt Tile Floors, a Duravit Vanity, Robern Medicine Cabinet and a dual-flush Caroma toilet and a walk-in shower.
Parker Gramercy is centrally located off Fifth Avenue at the crossroads of Chelsea, Greenwich Village, and Union Square. Known for its fantastic staff, impeccable financials, and excellent management, 10 W 15 St is a pet-friendly 24-Hour Doorman coop with a Live-In Super, Laundry and Package Room. 
Please call or e-mail us for a private showing.",1,1,Co-op,650,3,kim.lemma@corciman.com,
100 11TH AVE,14A,5600000,Sold,"Spectacular A-line 3 bedroom, 3 bath condominium with unobstructed Hudson River views in the most vibrant downtown neighborhood - West Chelsea.  Jean Nouvel's masterpiece on famed Architect's Row at 100 Eleventh Avenue is one of Nouvel's great architectural achievements.  Steps from high-profile destinations such as the Meatpacking District, the Highline, The Superpier, Chelsea Market and The New Whitney Museum.  Prepare to be mesmerized by cinematic sunset views over the Hudson, Empire State and Highline views to the North & East. 24-hour doorman concierge with full-time door staff, full-time Superintendent, 70 foot swimming pool, fitness center with sauna and massage room.",3.5,3,Condo,1950,4,francesca.gat@corciman.com,karina.klein@corciman.com
100 11TH AVE,19B,8450000,Temp Off Mkt,"A cinematic experience awaits with sensual views on the New York City waterfront from the Penthouse-grade, 19th floor in Downtown's premier luxury condominium by Pritzker Prize-winning architect Jean Nouvel.  With floor-to-ceiling windows and 11-foot loft ceilings, a 30x35 Great Room provide unparalleled visual drama with Southwest, East and North exposures.   With a total square footage of 2674sqft, this residence has 3 bedrooms with 3 en-suite baths stun the viewer with exquisite postcard vistas in every direction-Hudson River, Statue of Liberty, Empire State Building and Freedom Tower.  Sumptuous interiors by Cheryl Lucas-with state-of-the-art lighting, textured wall coverings, built-ins throughout designed to enhance the view experience-all provide a livable warmth in contrast to Nouvel's rigorous architectural precision. Signature kitchen and bathroom fixtures custom designed by Nouvel, sparkling white floors of imported terrazzo, floor-to-ceiling windows in multifaceted arrangement and gas fireplace are amongst the too-many features to detail here.  Amenities include 24-hr doorman, lifestyle concierge, fitness center, sauna, indoor/outdoor heated pool and package room. The newly redesigned lobby by Ateliers Jean Nouvel is a masterpiece unto itself.  A feat of architecture, engineering, and breathtaking artistry, and an exceedingly rare opportunity for the most discerning resident.  At the vibrant intersection of the Meatpacking District and Hudson Yards, West Chelsea will continue to benefit from world-class destinations such as the Whitney Museum, The Highline, and the SuperPier and Hudson Yards development.   Avenues Global School is only few short blocks away.",3.5,3,Condo,2674,3,ivana.henning@corciman.com,lindaf.mcaleer@corciman.com
100 CONGRESS ST,208,1220000,Sold,"This unique, spacious and bright condo is a rare find in the coveted Cobble Hill section of Brooklyn. Complete with its own indoor deeded PARKING space and its own washer and dryer, this home was originally a three bedroom that was converted to an extra gracious two bedroom, but is easy to convert back to a three bedroom should that be better suited to your needs. The current owners beautifully renovated this home to accommodate a baby grand piano! Built in 2012, the condition is like new but without the growing pains of new construction. Located in a boutique 34 unit condo complete with a fitness center, virtual doorman, roofdeck with incredible NYC views, childrens playroom and resident lounge, it has all the amenities of a larger building without the added expense. The interior offers luxurious accommodations including a large chefs kitchen with custom white cabinetry, blizzard white Caesarstone countertops, a Bertazzoni range, arctic blue glass backsplash, Fisher Paykel fridge and a Bosch dishwasher and microwave. The spa baths feature glass enclosed Jacuzzi tub, oversized Dal gray and white tiles and custom vanities. Great closet space, custom built-ins, beautiful hardwood floors, and a wall of windows facing Manhattan with partial city views let light stream in all day. Enjoy Brooklyn Bridge Park, tennis courts & a park across the street, and amazing neighborhood shopping. Tax abatement in effect until June 2027.",2,3,Condo,1104,7,dana.dawson@corciman.com,jeant.irenshtain@corciman.com
100 CONGRESS ST,208,1220000,Sold,"This unique, spacious and bright condo is a rare find in the coveted Cobble Hill section of Brooklyn. Complete with its own indoor deeded PARKING space and its own washer and dryer, this home was originally a three bedroom that was converted to an extra gracious two bedroom, but is easy to convert back to a three bedroom should that be better suited to your needs. The current owners beautifully renovated this home to accommodate a baby grand piano! Built in 2012, the condition is like new but without the growing pains of new construction. Located in a boutique 34 unit condo complete with a fitness center, virtual doorman, roofdeck with incredible NYC views, childrens playroom and resident lounge, it has all the amenities of a larger building without the added expense. The interior offers luxurious accommodations including a large chefs kitchen with custom white cabinetry, blizzard white Caesarstone countertops, a Bertazzoni range, arctic blue glass backsplash, Fisher Paykel fridge and a Bosch dishwasher and microwave. The spa baths feature glass enclosed Jacuzzi tub, oversized Dal gray and white tiles and custom vanities. Great closet space, custom built-ins, beautiful hardwood floors, and a wall of windows facing Manhattan with partial city views let light stream in all day. Enjoy Brooklyn Bridge Park, tennis courts & a park across the street, and amazing neighborhood shopping. Tax abatement in effect until June 2027.",2,3,Condo,1104,7,maria.milkowski@corciman.com,
